Phylum,Gammaproteobacteria,Firmicutes,Alphaproteobacteria,Actinobacteriota,Cyanobacteriota,Desulfobacterota,Campylobacterota,Acidobacteriota,Bacteroidota,Thermotogota,Chloroflexota,Others
Human,0.508992806,0.433453237,0,0.008093525,0,0,0.035071942,0,0.014388489,0,0,0
Engineered,0.767272727,0.191515152,0.012121212,0.006666667,0,0.003636364,0,0.000606061,0.001818182,0.00969697,0.002424242,0.004242424
Terrestrial,0.610619469,0.216814159,0.061946903,0.053097345,0.004424779,0.017699115,0,0.017699115,0,0,0,0.017699115
Aquatic,0.747514911,0.02584493,0.041749503,0.04473161,0.092445328,0.01888668,0,0,0,0,0.002982107,0.02584493
